model,group_label,linear,akima,poly2,poly3,time_past
simple_edge_interior,0,0.1298055320329737,0.1826963368405765,0.17278353649913689,0.49995634063291183,0.014758253994401137
simple_edge_interior,1,0.2200858471423986,0.22008585450716378,0.22726774763181534,0.3123855044247497,0.02017504629387247
private_safe_adaptive,0,0.23788618242129064,0.24029345139970193,0.23493480624675683,0.24137377646921895,0.045511783463031724
private_safe_adaptive,1,0.23010487885834302,0.24534501843060247,0.22879951599498025,0.24325071525732286,0.052499871458751526
private_safe_adaptive,2,0.10382787341039422,0.2644347050561177,1.214306433183765e-17,0.6140960008276055,0.017641420705882524
private_safe_adaptive,3,8.084279627877714e-18,0.10637500464783134,0.3936977862995734,0.4869860118855644,0.01294119716703067
private_safe_adaptive,4,1.1006547905998651e-17,3.4588575069307267e-18,0.35814666152747243,0.4839553808135842,0.1578979576589434
private_safe_adaptive,5,0.10759641641433304,0.10759640725239258,0.41189548000306514,0.13569490366837533,0.23721679266183401
private_safe_adaptive,6,0.3592631942511353,0.35926319657624495,0.0,0.2803631663970444,0.0011104427755753337
private_safe_adaptive,7,0.15063640171134499,0.1506363917175688,0.35304335441729773,0.30291914425571054,0.042764707898078076
